"This is a demo store by YaroslavN for {DV.Campus}. Orders will not be accepted!","This is a demo store by YaroslavN for {DV.Campus}. Orders will not be accepted!"
"vendor name:","vendor name:"
"module name:","module name:"
"Subscribe now to get a special promo!!","Subscribe now to get a special promo!!"
"This is a demo product. You can add them to cart and place order only to test the Magento","This is a demo product. You can add them to cart and place order only to test the Magento"
